Source,SS,DF1,DF2,MS,F,p-unc,np2,eps
genotype,20524080.305250753,2,9,10262040.152625376,27.663095572676912,0.0001433329457207938,0.8600880941378408,
site,865691.0650814997,1,9,865691.0650814997,2.4036421850062237,0.15546519252553131,0.21077846410917636,1.0
Interaction,865812.7296122536,2,9,432906.3648061268,1.201989996867691,0.3446174639507236,0.21080184243185054,
